Company,Site,Facility,State,Area,Date,TimeUTC,Rocket,Mission,RocketStatus,Price,MissionStatus
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,10/19/1971,12:40:00,Cosmos-2I (63SM),Cosmos 453,0,,1
US Air Force,SLC-4W,Vandenberg AFB,California,USA,10/23/1971,17:16:00,Titan III(24)B,OPS 7616,0,,1
RAE,LA-5B,RAAF Woomera Range Complex,,Australia,10/28/1971,4:09:00,Black Arrow,Prospero,0,,1
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,11/2/1971,14:25:00,Voskhod,Cosmos 454,0,,1
Martin Marietta,SLC-40,Cape Canaveral AFS,Florida,USA,11/3/1971,3:09:00,Titan III(23)C,DSCS-II 1&2,0,,1
CECLES,ELA-1,Guiana Space Centre,French Guiana,France,11/4/1971,21:10:00,Europa 2,Test flight,0,,2
ASI,SM Launch Tab,San Marco Launch Platform,,Kenya,11/15/1971,5:52:00,Scout B,Explorer 45,0,,1
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,11/17/1971,11:09:00,Cosmos-2I (63SM),Cosmos 455,0,,1
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,11/19/1971,12:00:00,Voskhod,Cosmos 456,0,,3
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,11/20/1971,18:00:00,Cosmos-3M (11K65M),Cosmos 457,0,,1
RVSN USSR,Site 43/4,Plesetsk Cosmodrome,,Russia,11/24/1971,9:30:00,Molniya-M /Block L,Molniya-2 n­24,0,,1
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,11/29/1971,10:09:00,Cosmos-2I (63SM),Cosmos 458,0,,1
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,11/29/1971,17:30:00,Cosmos-3M (11K65M),Cosmos 459,0,,1
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,11/30/1971,16:39:00,Cosmos-3M (11K65M),Cosmos 460,0,,1
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,12/2/1971,8:25:00,Cosmos-2I (63SM),Intercosmos-5,0,,1
RVSN USSR,Site 132/1,Plesetsk Cosmodrome,,Russia,12/2/1971,,Cosmos-3M (11K65M),Cosmos 461,0,,1
